read_id	mean_q	model
93d3ab30-5fe1-4a8a-a724-334bb8e1c720	20.271	fast
57daaf54-13e2-4cd4-810a-9e3934865e64	20.456	fast
c7e8534c-d49a-4399-a69a-cf4b592c7a54	23.934	fast
49f96608-d814-4e81-aae6-63abaae9de28	23.757	fast
3774f060-9000-48dc-8f72-aed03c60a74e	9.818	hac
9a552fd7-d32c-4ba7-85c1-71de4bab0f4b	25.893	fast
93f3c27d-574d-48c2-bce5-df399abb58f5	21.695	fast
3df89dbd-5732-4d80-8848-8fe74f24629b	22.225	fast
e9692163-4c92-4519-a57e-22d4cd074ce9	22.005	fast
28690e53-42f5-4f1c-8063-b1dca659ca7f	5.775	hac
c92cc6ac-303e-4952-9ed8-9ed41a6cbc19	14.992	fast
846631be-861c-4a53-a0d4-ccf661e4af84	26.255	fast
b5296fef-a86d-41eb-8d02-96550e3a997a	21.811	fast
51ff4cb3-85ba-4c68-897a-38a197894bfc	26.226	fast
8f26d8b7-3df0-4f28-a73e-0e0386aeadb2	21.759	fast
d4e12e1e-2815-4ca9-bd3c-505615a02acf	8.779	hac
e181cccb-48a2-46ea-a6d4-ad37d2a7c3d4	21.359	fast
80be33e3-be67-4261-afff-496f72929674	20.626	fast
601e1dc2-132c-413c-89ab-417cdeefb301	18.223	fast
04f9ef9f-a258-4193-89b0-16b65d090304	17.922	fast
2fb53af5-60f5-4a43-bba3-989c30011852	10.665	fast
32575567-d784-4bdf-8ce3-a348f91c4fbe	23.375	fast
998c3964-f991-49f5-a3f8-4f22d675d5d0	21.571	fast
1fa49e0a-dd0b-41e1-aefb-da3105f62b5f	23.604	fast
352643e1-7f23-4f42-b78f-20cad944e293	18.124	fast
0ab86890-0cf9-417b-b3f4-19047032c8ae	10.397	fast
392fcfe2-883c-4c6e-bdcc-f16c1100b61f	25.244	fast
21b944fd-48b5-4d4d-b76a-f39cbe086645	24.155	fast
740ee7ed-2f36-4d9d-9cee-70f395c6e903	19.324	fast
44d29421-9fcc-4389-bffb-924d89d0028a	24.397	fast
e9a64733-ef18-4453-b56c-407eb6b1ae53	10.027	fast
19d2a322-47a4-4815-8141-3a3ae326b243	8.683	hac
6da08e5e-0978-4d89-8142-4ed4bcbfa362	19.190	fast
1e81ee7f-3a29-4d7f-8c88-6dbefae61538	17.853	fast
66fb37ef-d05f-435b-8d8a-03b90e2df9b7	24.823	fast
fc6d3ee6-6c2d-44bc-87db-60d7c0a4653d	8.395	hac
dd36c777-4ebb-4953-acba-de7001ba6230	24.701	fast
300b3a4b-dbca-4ce6-8b95-3fd09f021e7b	22.542	fast
7e12879e-930c-4dfd-a918-1ebe63ea5ee2	5.819	hac
d707166f-2eef-4577-acc6-c6fff2402582	28.538	fast
1a7a867d-6bb1-49ea-b10a-71b009884e9b	8.331	hac
8f663d6e-652e-4625-ab73-04c750b05415	25.433	fast
c0505726-642f-43b4-b960-5846f6b71f0b	25.666	fast
9a347eed-bec2-4edd-8832-4f1ad99f0be2	18.385	fast
144288c6-e1b9-415f-88a5-ba769bdb2712	6.785	hac
5148a4de-62f4-45aa-9fe4-c3873fe1b53c	8.407	hac
e3f7ba2a-cb78-4d7a-9024-abba7e4642dd	15.673	fast
338b04a6-358a-4162-9b71-322a4ffd7201	25.803	fast
1e45a4f0-b304-4072-8643-cd54de455902	24.096	fast
e974a02d-5308-4351-9ae8-bd77e14e1858	24.103	fast
506eae42-a138-4ec7-9ada-3d4edf36eeb2	18.238	fast
63c7e509-90d1-4b16-a38c-c5b5592889cb	23.489	fast
bf32fc33-9b38-4eed-8d2a-313253c23f70	25.863	fast
3ea7f4a5-a9d6-4e78-8ade-a12db3745299	20.267	fast
8d3f7902-3132-4d7c-98ab-89c3793892bb	22.593	fast
cb1dd745-adf2-48fb-99b3-9571db1109d5	21.762	fast
77dfd2c5-0802-4963-9679-1b05b07711b6	16.945	fast
43099e87-805c-40e4-bf90-7342ef42d2c6	23.539	fast
cdc25f6f-c601-4002-b46c-b0fb26b38805	24.767	fast
98e09cea-9bf2-4835-a3b7-8b1a96bb4a93	22.652	fast
05655f8b-ca26-4b33-be7e-17c2a6bacf44	22.643	fast
932013b2-f18c-45d9-ad68-e4b46a23d7b7	14.949	fast
867aa7af-3d92-478b-8a94-c7ed6a48ac56	6.936	hac
f0867e36-9b8f-421b-b315-855ace823603	17.756	fast
3dac34c0-b84d-412b-95a7-3e2eee11895a	21.754	fast
e337985e-1c67-4bfe-92c7-ebb14fa07658	24.326	fast
bbcc193f-8d66-446f-8046-f9fbeec2a09f	8.834	hac
6495bbc5-aa65-4e95-aaa8-7b0e98b338c7	19.670	fast
bc7164b9-a17e-4c58-a075-9d0ab903789f	21.525	fast
baa5e8fa-897f-4e18-bac7-5812cc757cbd	25.665	fast
e592c571-d4e1-4452-ac27-03f28f64ea2a	20.718	fast
b2625dfe-917d-4133-9ed9-72e598ae9a07	23.197	fast
9ac325c1-b7e0-4a48-a43b-e61153f5be28	25.305	fast
4bdea0b7-fdf7-4bb4-832e-a01e0fc56a54	9.763	hac
4a8921b8-4c9e-4532-9533-c61365e020cf	27.112	fast
65cb807f-92da-4a0b-8ba9-affd14e634d5	19.589	fast
f7d7d9e1-a4af-400e-9087-8c6ae1f2d491	21.832	fast
0c71bbe7-3d78-4f64-887b-32c7ff3ce4a9	21.881	fast
53818960-35a0-444c-a0ef-2a9fefbc7bd7	19.529	fast
bd34c508-262d-4d8a-84f9-f1d8a78595d7	20.362	fast
a23bc3fe-95e7-4a58-91ad-06e61121d8e5	22.529	fast
f1fec1cb-9d44-442e-8fe5-98b44c85d096	16.336	fast
5bfc32fc-ce99-4208-a43a-97947b1062b1	25.328	fast
a6fb5eb5-23e9-430c-90a0-c003abca9f54	21.845	fast
1e5f99ef-f8a1-4834-b6f2-92b8ad59098b	11.977	fast
bb454525-3393-4ba9-860c-2d8f37c5bb18	10.686	fast
8cc07d85-59ca-4291-9622-19ee93dfbd5c	8.788	hac
